Local time,Date,Open,High,Low,Close,Volume
26.07.2018 01:30:00.000 GMT+0430,26.07.2018,74.361,74.805,73.745,74.305,4.065
27.07.2018 01:30:00.000 GMT+0430,27.07.2018,74.486,74.831,73.805,74.315,2.8878
28.07.2018 01:30:00.000 GMT+0430,28.07.2018,74.315,74.315,74.315,74.315,0
29.07.2018 01:30:00.000 GMT+0430,29.07.2018,74.315,74.315,74.315,74.315,0
30.07.2018 01:30:00.000 GMT+0430,30.07.2018,74.225,75.251,74.115,74.9,1.5625
31.07.2018 01:30:00.000 GMT+0430,31.07.2018,75.426,75.596,73.876,74.025,2.7367
01.08.2018 01:30:00.000 GMT+0430,01.08.2018,74.081,74.086,72.125,72.515,3.7187
02.08.2018 01:30:00.000 GMT+0430,02.08.2018,72.466,73.71,71.805,73.345,3.8929
03.08.2018 01:30:00.000 GMT+0430,03.08.2018,73.361,73.71,72.46,73.328,2.1965
04.08.2018 01:30:00.000 GMT+0430,04.08.2018,73.328,73.328,73.328,73.328,0
05.08.2018 01:30:00.000 GMT+0430,05.08.2018,73.328,73.328,73.328,73.328,0
06.08.2018 01:30:00.000 GMT+0430,06.08.2018,73.151,74.436,73.135,73.62,4.1027
07.08.2018 01:30:00.000 GMT+0430,07.08.2018,73.608,74.865,73.546,74.47,5.1401
08.08.2018 01:30:00.000 GMT+0430,08.08.2018,74.62,74.83,71.635,72.185,5.6203
09.08.2018 01:30:00.000 GMT+0430,09.08.2018,72.125,72.86,71.835,71.935,4.365
10.08.2018 01:30:00.000 GMT+0430,10.08.2018,71.94,73.115,71.375,72.925,4.0879
11.08.2018 01:30:00.000 GMT+0430,11.08.2018,72.925,72.925,72.925,72.925,0
12.08.2018 01:30:00.000 GMT+0430,12.08.2018,72.925,72.925,72.925,72.925,0
13.08.2018 01:30:00.000 GMT+0430,13.08.2018,72.878,73.071,71.021,72.765,2.7061
14.08.2018 01:30:00.000 GMT+0430,14.08.2018,72.811,73.906,72.135,72.155,4.2018
15.08.2018 01:30:00.000 GMT+0430,15.08.2018,72.208,72.426,70.285,70.725,4.0011
16.08.2018 01:30:00.000 GMT+0430,16.08.2018,70.671,71.481,70.385,71.345,4.0435
17.08.2018 01:30:00.000 GMT+0430,17.08.2018,71.321,72.46,71.215,71.755,3.2272
18.08.2018 01:30:00.000 GMT+0430,18.08.2018,71.755,71.755,71.755,71.755,0
19.08.2018 01:30:00.000 GMT+0430,19.08.2018,71.755,71.755,71.755,71.755,0
20.08.2018 01:30:00.000 GMT+0430,20.08.2018,71.628,72.736,71.411,72.175,3.4522
21.08.2018 01:30:00.000 GMT+0430,21.08.2018,72.171,72.926,72.025,72.745,2.9634
22.08.2018 01:30:00.000 GMT+0430,22.08.2018,72.74,74.976,72.671,74.855,3.4023
23.08.2018 01:30:00.000 GMT+0430,23.08.2018,74.751,74.856,74.185,74.715,3.3201
24.08.2018 01:30:00.000 GMT+0430,24.08.2018,74.728,76.391,74.655,75.598,3.7589
25.08.2018 01:30:00.000 GMT+0430,25.08.2018,75.598,75.598,75.598,75.598,0
26.08.2018 01:30:00.000 GMT+0430,26.08.2018,75.598,75.598,75.598,75.598,0
27.08.2018 01:30:00.000 GMT+0430,27.08.2018,75.661,76.308,75.354,76.275,2.7544
28.08.2018 01:30:00.000 GMT+0430,28.08.2018,76.298,76.941,75.705,75.865,4.0302
29.08.2018 01:30:00.000 GMT+0430,29.08.2018,75.971,77.39,75.645,77.3,2.983
30.08.2018 01:30:00.000 GMT+0430,30.08.2018,77.25,78,77.156,77.675,2.0893
31.08.2018 01:30:00.000 GMT+0430,31.08.2018,77.761,78.185,77.215,77.658,5.3493
01.09.2018 01:30:00.000 GMT+0430,01.09.2018,77.658,77.658,77.658,77.658,0
02.09.2018 01:30:00.000 GMT+0430,02.09.2018,77.658,77.658,77.658,77.658,0
03.09.2018 01:30:00.000 GMT+0430,03.09.2018,77.726,78.421,77.275,77.992,1.644
04.09.2018 01:30:00.000 GMT+0430,04.09.2018,78.166,79.701,77.446,77.755,3.247
05.09.2018 01:30:00.000 GMT+0430,05.09.2018,77.818,78.081,76.896,77.045,2.6171
06.09.2018 01:30:00.000 GMT+0430,06.09.2018,77.011,77.736,75.625,76.555,2.8659
07.09.2018 01:30:00.000 GMT+0430,07.09.2018,76.671,77.065,75.854,77.005,4.42
08.09.2018 01:30:00.000 GMT+0430,08.09.2018,77.005,77.005,77.005,77.005,0
09.09.2018 01:30:00.000 GMT+0430,09.09.2018,77.005,77.005,77.005,77.005,0
10.09.2018 01:30:00.000 GMT+0430,10.09.2018,77.198,77.891,76.875,77.335,4.8426
11.09.2018 01:30:00.000 GMT+0430,11.09.2018,77.361,79.505,77.345,79.425,4.7543
12.09.2018 01:30:00.000 GMT+0430,12.09.2018,79.426,80.096,78.725,79.685,3.6496
13.09.2018 01:30:00.000 GMT+0430,13.09.2018,79.631,79.685,77.854,78.345,3.9937
14.09.2018 01:30:00.000 GMT+0430,14.09.2018,78.416,78.916,77.356,78.045,3.8857
15.09.2018 01:30:00.000 GMT+0430,15.09.2018,78.045,78.045,78.045,78.045,0
16.09.2018 01:30:00.000 GMT+0430,16.09.2018,78.045,78.045,78.045,78.045,0
17.09.2018 01:30:00.000 GMT+0430,17.09.2018,77.916,78.876,77.705,77.875,3.1228
18.09.2018 01:30:00.000 GMT+0430,18.09.2018,77.699,79.695,77.475,78.825,4.9521
19.09.2018 01:30:00.000 GMT+0430,19.09.2018,78.936,79.471,78.496,79.325,4.7294
20.09.2018 01:30:00.000 GMT+0430,20.09.2018,79.411,79.796,78.485,78.575,4.6091
21.09.2018 01:30:00.000 GMT+0430,21.09.2018,78.646,80.095,78.195,78.635,8.3645
22.09.2018 00:30:00.000 GMT+0330,22.09.2018,78.635,78.635,78.635,78.635,0
23.09.2018 00:30:00.000 GMT+0330,23.09.2018,78.635,78.635,78.635,78.635,0
24.09.2018 00:30:00.000 GMT+0330,24.09.2018,79.815,81.456,79.635,81.405,5.2689
25.09.2018 00:30:00.000 GMT+0330,25.09.2018,81.295,82.526,81.156,81.515,4.0166
26.09.2018 00:30:00.000 GMT+0330,26.09.2018,81.498,82.185,81.074,81.645,7.3721
27.09.2018 00:30:00.000 GMT+0330,27.09.2018,81.776,82.406,81.275,81.695,5.1837
28.09.2018 00:30:00.000 GMT+0330,28.09.2018,81.325,83.355,81.265,82.855,7.3902
29.09.2018 00:30:00.000 GMT+0330,29.09.2018,82.855,82.855,82.855,82.855,0
30.09.2018 00:30:00.000 GMT+0330,30.09.2018,82.855,82.855,82.855,82.855,0
01.10.2018 00:30:00.000 GMT+0330,01.10.2018,83.025,85.415,82.525,84.945,8.0075
02.10.2018 00:30:00.000 GMT+0330,02.10.2018,84.956,85.335,84.294,84.635,7.0159
03.10.2018 00:30:00.000 GMT+0330,03.10.2018,84.761,86.716,84,85.925,6.1364
04.10.2018 00:30:00.000 GMT+0330,04.10.2018,85.888,86.396,84.131,84.825,3.5711
05.10.2018 00:30:00.000 GMT+0330,05.10.2018,84.936,85.106,83.895,83.975,5.2151
06.10.2018 00:30:00.000 GMT+0330,06.10.2018,83.975,83.975,83.975,83.975,0
07.10.2018 00:30:00.000 GMT+0330,07.10.2018,83.975,83.975,83.975,83.975,0
08.10.2018 00:30:00.000 GMT+0330,08.10.2018,83.416,83.96,82.646,83.805,4.7006
09.10.2018 00:30:00.000 GMT+0330,09.10.2018,83.876,85.425,83.705,84.795,5.0323
10.10.2018 00:30:00.000 GMT+0330,10.10.2018,84.918,85.146,82.285,82.395,6.1384
11.10.2018 00:30:00.000 GMT+0330,11.10.2018,82.501,82.6,79.786,80.253,6.3986
12.10.2018 00:30:00.000 GMT+0330,12.10.2018,80.271,81.446,79.205,80.495,5.5654
13.10.2018 00:30:00.000 GMT+0330,13.10.2018,80.495,80.495,80.495,80.495,0
14.10.2018 00:30:00.000 GMT+0330,14.10.2018,80.495,80.495,80.495,80.495,0
15.10.2018 00:30:00.000 GMT+0330,15.10.2018,81.735,81.846,79.83,80.775,4.2255
16.10.2018 00:30:00.000 GMT+0330,16.10.2018,80.871,81.736,79.785,81.575,3.4203
17.10.2018 00:30:00.000 GMT+0330,17.10.2018,81.71,81.835,79.179,80.313,3.5598
18.10.2018 00:30:00.000 GMT+0330,18.10.2018,80.186,80.291,78.675,79.285,4.0638
19.10.2018 00:30:00.000 GMT+0330,19.10.2018,79.418,80.861,79.185,79.965,3.9616
20.10.2018 00:30:00.000 GMT+0330,20.10.2018,79.965,79.965,79.965,79.965,0
21.10.2018 00:30:00.000 GMT+0330,21.10.2018,79.965,79.965,79.965,79.965,0
22.10.2018 00:30:00.000 GMT+0330,22.10.2018,79.845,80.386,78.975,80.045,4.39
23.10.2018 00:30:00.000 GMT+0330,23.10.2018,80.061,80.096,75.865,76.115,4.0276
24.10.2018 00:30:00.000 GMT+0330,24.10.2018,76.336,77.535,75.095,75.645,6.9425
25.10.2018 00:30:00.000 GMT+0330,25.10.2018,75.628,77.031,75.335,76.545,6.8241
26.10.2018 00:30:00.000 GMT+0330,26.10.2018,76.576,77.895,75.745,77.654,5.6593
27.10.2018 00:30:00.000 GMT+0330,27.10.2018,77.654,77.654,77.654,77.654,0
28.10.2018 00:30:00.000 GMT+0330,28.10.2018,77.654,77.654,77.654,77.654,0
