Local time,Open,High,Low,Close,Volume
13.04.2012 01:30:00.000 GMT+0430,121.700,121.740,120.370,121.400,101786
14.04.2012 01:30:00.000 GMT+0430,121.400,121.400,121.400,121.400,0
15.04.2012 01:30:00.000 GMT+0430,121.400,121.400,121.400,121.400,0
16.04.2012 01:30:00.000 GMT+0430,121.000,121.000,118.200,118.490,118006
17.04.2012 01:30:00.000 GMT+0430,118.454,119.340,117.980,118.660,91351
18.04.2012 01:30:00.000 GMT+0430,118.660,118.850,116.700,118.120,128498
19.04.2012 01:30:00.000 GMT+0430,118.120,119.150,117.680,118.080,88404
20.04.2012 01:30:00.000 GMT+0430,118.080,119.690,117.870,118.870,103618
21.04.2012 01:30:00.000 GMT+0430,118.870,118.870,118.870,118.870,0
22.04.2012 01:30:00.000 GMT+0430,118.870,118.870,118.870,118.870,0
23.04.2012 01:30:00.000 GMT+0430,118.850,118.910,117.210,118.870,104559
24.04.2012 01:30:00.000 GMT+0430,118.870,118.940,117.850,118.270,98747
25.04.2012 01:30:00.000 GMT+0430,118.270,119.250,117.450,119.040,95845
26.04.2012 01:30:00.000 GMT+0430,119.040,120.170,118.780,119.680,99310
27.04.2012 01:30:00.000 GMT+0430,119.680,119.950,119.060,119.600,106652
28.04.2012 01:30:00.000 GMT+0430,119.600,119.600,119.600,119.600,0
29.04.2012 01:30:00.000 GMT+0430,119.600,119.600,119.600,119.600,0
30.04.2012 01:30:00.000 GMT+0430,119.750,119.790,118.730,119.220,91174
01.05.2012 01:30:00.000 GMT+0430,119.220,120.020,118.800,119.660,88769
02.05.2012 01:30:00.000 GMT+0430,119.660,119.800,117.640,118.330,127061
03.05.2012 01:30:00.000 GMT+0430,118.330,118.450,115.920,116.160,91020
04.05.2012 01:30:00.000 GMT+0430,115.940,116.290,111.760,113.490,123114
05.05.2012 01:30:00.000 GMT+0430,113.490,113.490,113.490,113.490,0
06.05.2012 01:30:00.000 GMT+0430,113.490,113.490,113.490,113.490,0
07.05.2012 01:30:00.000 GMT+0430,113.200,113.400,110.340,113.370,103373
08.05.2012 01:30:00.000 GMT+0430,113.370,113.640,110.530,113.160,88644
09.05.2012 01:30:00.000 GMT+0430,113.160,113.300,111.310,112.770,113920
10.05.2012 01:30:00.000 GMT+0430,112.770,113.640,112.120,112.250,104997
11.05.2012 01:30:00.000 GMT+0430,112.250,112.790,111.410,112.070,102448
12.05.2012 01:30:00.000 GMT+0430,112.070,112.070,112.070,112.070,0
13.05.2012 01:30:00.000 GMT+0430,112.070,112.070,112.070,112.070,0
14.05.2012 01:30:00.000 GMT+0430,112.070,112.070,110.040,110.940,104393
15.05.2012 01:30:00.000 GMT+0430,110.950,112.530,110.740,110.900,65621
16.05.2012 01:30:00.000 GMT+0430,110.900,111.830,109.070,109.240,61128
17.05.2012 01:30:00.000 GMT+0430,109.260,111.710,106.920,106.950,108
18.05.2012 01:30:00.000 GMT+0430,106.950,111.710,106.560,107.090,36
19.05.2012 01:30:00.000 GMT+0430,107.090,107.090,107.090,107.090,0
20.05.2012 01:30:00.000 GMT+0430,107.090,107.090,107.090,107.090,0
21.05.2012 01:30:00.000 GMT+0430,107.290,111.710,106.710,109.300,75763
22.05.2012 01:30:00.000 GMT+0430,109.300,109.360,107.790,108.260,95971
23.05.2012 01:30:00.000 GMT+0430,108.260,108.290,105.390,106.120,92358
24.05.2012 01:30:00.000 GMT+0430,106.120,107.250,105.030,106.830,99484
25.05.2012 01:30:00.000 GMT+0430,106.830,107.240,106.020,106.740,89212
26.05.2012 01:30:00.000 GMT+0430,106.740,106.740,106.740,106.740,0
27.05.2012 01:30:00.000 GMT+0430,106.740,106.740,106.740,106.740,0
28.05.2012 01:30:00.000 GMT+0430,106.900,108.040,106.800,107.260,34929
29.05.2012 01:30:00.000 GMT+0430,107.260,107.950,106.060,106.830,94140
30.05.2012 01:30:00.000 GMT+0430,106.830,106.920,102.880,103.050,109575
31.05.2012 01:30:00.000 GMT+0430,103.019,104.150,101.270,101.790,96685
01.06.2012 01:30:00.000 GMT+0430,101.790,101.950,97.540,98.710,116501
02.06.2012 01:30:00.000 GMT+0430,98.710,98.710,98.710,98.710,0
03.06.2012 01:30:00.000 GMT+0430,98.710,98.710,98.710,98.710,0
04.06.2012 01:30:00.000 GMT+0430,98.820,99.100,95.630,98.890,85946
05.06.2012 01:30:00.000 GMT+0430,98.890,99.630,97.680,98.740,106613
06.06.2012 01:30:00.000 GMT+0430,98.740,101.390,98.570,100.990,124878
07.06.2012 01:30:00.000 GMT+0430,100.990,102.450,99.070,99.130,128349
08.06.2012 01:30:00.000 GMT+0430,99.130,99.970,97.190,99.940,116803
09.06.2012 01:30:00.000 GMT+0430,99.940,99.940,99.940,99.940,0
10.06.2012 01:30:00.000 GMT+0430,99.940,99.940,99.940,99.940,0
11.06.2012 01:30:00.000 GMT+0430,99.760,102.210,96.500,96.700,112482
12.06.2012 01:30:00.000 GMT+0430,96.700,97.970,96.460,97.330,92087
13.06.2012 01:30:00.000 GMT+0430,97.330,98.380,96.701,97.070,75856
14.06.2012 01:30:00.000 GMT+0430,97.070,97.800,96.330,97.028,43398
15.06.2012 01:30:00.000 GMT+0430,97.030,97.030,97.030,97.030,6
16.06.2012 01:30:00.000 GMT+0430,97.030,97.030,97.030,97.030,0
17.06.2012 01:30:00.000 GMT+0430,97.030,97.030,97.030,97.030,0
18.06.2012 01:30:00.000 GMT+0430,97.030,97.030,97.030,97.030,0
19.06.2012 01:30:00.000 GMT+0430,96.020,96.800,95.720,95.800,54889
20.06.2012 01:30:00.000 GMT+0430,95.800,96.040,92.380,92.620,118939
21.06.2012 01:30:00.000 GMT+0430,92.620,92.750,88.900,89.220,114027
22.06.2012 01:30:00.000 GMT+0430,89.220,91.700,88.490,91.350,114168
23.06.2012 01:30:00.000 GMT+0430,91.350,91.350,91.350,91.350,0
24.06.2012 01:30:00.000 GMT+0430,91.350,91.350,91.350,91.350,0
25.06.2012 01:30:00.000 GMT+0430,91.330,91.750,89.600,91.300,100357
26.06.2012 01:30:00.000 GMT+0430,91.300,93.230,90.700,93.090,108546
27.06.2012 01:30:00.000 GMT+0430,93.090,93.900,91.710,93.710,87342
28.06.2012 01:30:00.000 GMT+0430,93.710,93.850,90.880,92.000,97573
29.06.2012 01:30:00.000 GMT+0430,92.000,98.290,91.730,97.640,130505
30.06.2012 01:30:00.000 GMT+0430,97.640,97.640,97.640,97.640,0
01.07.2012 01:30:00.000 GMT+0430,97.640,97.640,97.570,97.570,0
02.07.2012 01:30:00.000 GMT+0430,97.570,97.870,95.300,97.250,115915
03.07.2012 01:30:00.000 GMT+0430,97.250,101.570,97.120,100.710,96334
04.07.2012 01:30:00.000 GMT+0430,100.680,100.940,99.270,99.780,31245
05.07.2012 01:30:00.000 GMT+0430,99.780,102.340,99.300,99.990,132705
06.07.2012 01:30:00.000 GMT+0430,99.990,100.230,97.730,97.800,32457
07.07.2012 01:30:00.000 GMT+0430,97.800,97.800,97.800,97.800,0
08.07.2012 01:30:00.000 GMT+0430,97.800,97.800,97.800,97.800,0
09.07.2012 01:30:00.000 GMT+0430,98.150,101.060,97.952,99.990,92095
10.07.2012 01:30:00.000 GMT+0430,99.990,100.480,97.731,97.920,91354
11.07.2012 01:30:00.000 GMT+0430,97.920,100.830,97.830,100.700,104146
12.07.2012 01:30:00.000 GMT+0430,100.700,101.360,98.510,100.700,101828
13.07.2012 01:30:00.000 GMT+0430,100.700,103.440,100.510,102.780,84414
14.07.2012 01:30:00.000 GMT+0430,102.780,102.780,102.780,102.780,0
15.07.2012 01:30:00.000 GMT+0430,102.780,102.780,102.780,102.780,0
16.07.2012 01:30:00.000 GMT+0430,102.850,103.690,102.070,103.550,37240
17.07.2012 01:30:00.000 GMT+0430,103.550,103.550,103.550,103.550,2
18.07.2012 01:30:00.000 GMT+0430,103.550,103.550,103.550,103.550,0
19.07.2012 01:30:00.000 GMT+0430,106.810,108.180,106.650,107.660,63257
20.07.2012 01:30:00.000 GMT+0430,107.660,107.700,105.700,106.700,110136
21.07.2012 01:30:00.000 GMT+0430,106.700,106.700,106.700,106.700,0
22.07.2012 01:30:00.000 GMT+0430,106.700,106.700,106.700,106.700,0
23.07.2012 01:30:00.000 GMT+0430,106.740,106.930,102.420,103.350,128802
24.07.2012 01:30:00.000 GMT+0430,103.350,104.480,102.530,103.300,131376
25.07.2012 01:30:00.000 GMT+0430,103.300,104.710,102.100,104.480,130211
26.07.2012 01:30:00.000 GMT+0430,104.480,106.180,103.480,105.490,127736
27.07.2012 01:30:00.000 GMT+0430,105.490,106.630,105.150,106.520,125617
28.07.2012 01:30:00.000 GMT+0430,106.520,106.520,106.520,106.520,0
29.07.2012 01:30:00.000 GMT+0430,106.520,106.520,106.520,106.520,0
30.07.2012 01:30:00.000 GMT+0430,106.650,106.960,105.580,105.860,104599
31.07.2012 01:30:00.000 GMT+0430,105.860,106.520,104.100,104.760,123275
01.08.2012 01:30:00.000 GMT+0430,104.760,106.920,104.060,105.640,105276
02.08.2012 01:30:00.000 GMT+0430,105.640,107.300,104.970,106.030,121538
03.08.2012 01:30:00.000 GMT+0430,106.030,109.130,105.800,108.890,115587
04.08.2012 01:30:00.000 GMT+0430,108.890,108.890,108.890,108.890,0
05.08.2012 01:30:00.000 GMT+0430,108.890,108.890,108.890,108.890,0
06.08.2012 01:30:00.000 GMT+0430,108.710,109.750,107.900,109.580,63890
07.08.2012 01:30:00.000 GMT+0430,109.580,112.560,109.130,111.810,60705
08.08.2012 01:30:00.000 GMT+0430,111.800,113.270,110.850,112.010,77726
09.08.2012 01:30:00.000 GMT+0430,112.010,113.530,111.630,113.300,99267
10.08.2012 01:30:00.000 GMT+0430,113.300,113.520,111.320,113.400,93146
11.08.2012 01:30:00.000 GMT+0430,113.400,113.400,113.400,113.400,0
12.08.2012 01:30:00.000 GMT+0430,113.400,113.400,113.400,113.400,0
13.08.2012 01:30:00.000 GMT+0430,113.540,115.080,113.100,113.560,89934
14.08.2012 01:30:00.000 GMT+0430,113.560,114.300,113.220,114.070,65973
15.08.2012 01:30:00.000 GMT+0430,114.070,116.720,113.490,116.500,86419
16.08.2012 01:30:00.000 GMT+0430,116.500,117.030,115.500,116.900,52495
17.08.2012 01:30:00.000 GMT+0430,116.900,116.900,116.900,116.900,5
18.08.2012 01:30:00.000 GMT+0430,116.900,116.900,116.900,116.900,0
19.08.2012 01:30:00.000 GMT+0430,116.900,116.900,116.900,116.900,0
20.08.2012 01:30:00.000 GMT+0430,116.900,116.900,116.900,116.900,0
21.08.2012 01:30:00.000 GMT+0430,114.140,115.560,114.130,114.700,71853
22.08.2012 01:30:00.000 GMT+0430,114.700,115.270,113.540,115.100,83442
23.08.2012 01:30:00.000 GMT+0430,115.100,116.380,114.360,114.500,87234
24.08.2012 01:30:00.000 GMT+0430,114.500,115.270,113.000,113.450,64353
25.08.2012 01:30:00.000 GMT+0430,113.450,113.450,113.450,113.450,0
26.08.2012 01:30:00.000 GMT+0430,113.450,113.450,113.450,113.450,0
27.08.2012 01:30:00.000 GMT+0430,113.800,115.500,111.560,112.630,98993
28.08.2012 01:30:00.000 GMT+0430,112.630,113.100,111.710,112.500,104457
29.08.2012 01:30:00.000 GMT+0430,112.500,113.300,111.500,112.690,94605
30.08.2012 01:30:00.000 GMT+0430,112.690,113.440,112.250,112.790,86466
31.08.2012 01:30:00.000 GMT+0430,112.790,114.900,112.360,114.850,78332
01.09.2012 01:30:00.000 GMT+0430,114.850,114.920,114.850,114.920,0
02.09.2012 01:30:00.000 GMT+0430,114.920,114.920,114.920,114.920,0
03.09.2012 01:30:00.000 GMT+0430,114.920,115.980,114.030,115.780,57127
04.09.2012 01:30:00.000 GMT+0430,115.780,116.610,113.940,114.250,114294
05.09.2012 01:30:00.000 GMT+0430,114.230,114.374,112.740,113.600,119693
06.09.2012 01:30:00.000 GMT+0430,113.600,115.090,112.680,112.680,123444
