date,cfr methanol
7/27/2018,392.7114956
7/29/2018,393.5020745
8/3/2018,395.0832321
8/6/2018,395.873811
8/12/2018,396.6643898
8/19/2018,396.6643898
8/27/2018,396.6643898
9/3/2018,395.873811
9/6/2018,395.0832321
9/7/2018,392.7114956
9/11/2018,395.873811
9/12/2018,396.6643898
9/17/2018,399.0361263
9/19/2018,402.1984416
9/20/2018,402.1984416
9/24/2018,404.5701781
9/28/2018,407.7324934
10/3/2018,408.5230723
10/7/2018,410.8948087
10/10/2018,412.4759664
10/11/2018,414.0571241
10/13/2018,418.800597
10/15/2018,419.5911759
10/16/2018,421.9629124
10/18/2018,423.54407
10/21/2018,423.54407
10/24/2018,421.9629124
10/28/2018,419.5911759
10/29/2018,418.0100182
11/1/2018,414.0571241
11/3/2018,397.4549686
11/5/2018,395.0832321
11/6/2018,388.7586015
11/8/2018,384.8057073
11/10/2018,376.899919
11/11/2018,375.3187614
11/13/2018,370.5752884
11/14/2018,350.8108176
11/16/2018,330.2557681
11/18/2018,328.6746104
11/19/2018,320.7688221
11/23/2018,319.1876644
11/24/2018,317.6065068
11/26/2018,308.1195608
11/27/2018,306.5384032
11/29/2018,297.0514572
12/1/2018,294.6797207
12/2/2018,281.2398806
12/4/2018,279.6587229
12/10/2018,269.3811981
12/14/2018,270.171777
12/15/2018,271.7529346
12/20/2018,271.7529346
12/22/2018,268.5906193
12/25/2018,265.428304
12/27/2018,263.8471463
12/28/2018,263.8471463
1/2/2019,263.8471463
1/7/2019,264.6377252
1/8/2019,265.428304
1/10/2019,267.0094616
1/12/2019,268.5906193
1/13/2019,269.3811981
1/15/2019,270.9623558
1/17/2019,272.5435135
1/18/2019,274.9152499
1/21/2019,275.7058288
1/23/2019,275.7058288
1/28/2019,278.0775653
1/30/2019,282.8210383
1/31/2019,283.6116171
2/3/2019,285.1927747
2/7/2019,286.7739324
2/8/2019,288.3550901
2/13/2019,289.9362477
2/15/2019,291.5174054
2/18/2019,289.9362477
2/21/2019,284.4021959
2/26/2019,285.1927747
3/6/2019,288.3550901
3/8/2019,294.6797207
3/9/2019,296.2608784
3/11/2019,304.1666667
3/16/2019,305.7478243
3/18/2019,304.1666667
3/19/2019,301.7949302
3/21/2019,300.2137725
3/22/2019,298.6326149
3/24/2019,293.8891419
3/27/2019,292.3079842
3/29/2019,289.9362477
3/30/2019,290.7268266
4/1/2019,291.5174054
4/4/2019,294.6797207
4/6/2019,295.4702995
4/8/2019,296.2608784
4/9/2019,297.0514572
4/12/2019,298.6326149
4/14/2019,293.098563
4/17/2019,292.3079842
4/19/2019,290.7268266
4/21/2019,286.7739324
4/22/2019,285.9833536
4/24/2019,285.1927747
4/27/2019,283.6116171
4/29/2019,282.8210383
4/30/2019,281.2398806
5/3/2019,278.8681441
5/5/2019,278.8681441
5/12/2019,278.8681441
5/15/2019,280.4493018
5/16/2019,281.2398806
5/20/2019,282.0304594
5/23/2019,280.4493018
5/25/2019,278.0775653
5/26/2019,277.2869864
5/31/2019,274.9152499
6/2/2019,273.3340923
6/3/2019,270.171777
6/7/2019,267.8000405
6/10/2019,266.2188828
6/11/2019,265.428304
6/13/2019,261.4754098
6/18/2019,263.0565675
6/19/2019,263.8471463
6/23/2019,263.8471463
6/28/2019,265.428304
7/1/2019,266.2188828
7/4/2019,266.2188828
7/6/2019,265.428304
7/7/2019,260.684831
7/9/2019,259.8942522
7/14/2019,256.7319369
7/17/2019,253.5696215
7/20/2019,247.2449909
7/22/2019,245.6638332
7/23/2019,241.7109391
7/25/2019,239.3392026
7/27/2019,236.1768873
7/28/2019,233.8051508
7/30/2019,230.6428355
8/5/2019,230.6428355
8/10/2019,230.6428355
8/17/2019,230.6428355
8/23/2019,228.271099
9/2/2019,226.6899413
9/6/2019,224.6
9/13/2019,231
9/20/2019,235.6
9/27/2019,241.6
10/4/2019,242
10/11/2019,240
10/18/2019,235
10/25/2019,229
11/1/2019,224
11/22/2019,212.2
11/29/2019,210.8
12/6/2019,213.2
12/13/2019,214.2
