Date,Close
3/19/2018,35172
3/18/2018,33821
3/17/2018,32672
3/14/2018,32398
3/13/2018,32221
3/12/2018,32114
3/11/2018,32140
3/10/2018,32408
3/7/2018,32457
3/6/2018,32559
3/5/2018,32814
3/4/2018,32555
3/3/2018,32551
2/28/2018,33084
2/27/2018,33204
2/26/2018,33424
2/25/2018,33498
2/24/2018,33837
2/21/2018,34208
2/19/2018,34211
2/18/2018,34205
2/17/2018,34116
2/14/2018,34328
2/13/2018,33949
2/12/2018,33233
2/10/2018,33295
2/7/2018,34077
2/6/2018,32928
2/5/2018,32938
2/4/2018,32616
2/3/2018,32630
1/31/2018,32701
1/30/2018,32454
1/29/2018,32018
1/28/2018,32032
1/27/2018,32072
1/24/2018,32900
1/23/2018,33162
1/22/2018,33063
1/21/2018,32323
1/20/2018,32592
1/17/2018,32884
1/16/2018,33057
1/15/2018,33019
1/14/2018,33176
1/13/2018,32960
1/10/2018,32519
1/9/2018,32494
1/8/2018,31198
1/7/2018,31368
1/6/2018,31503
1/3/2018,30949
1/2/2018,31006
1/1/2018,30674
12/31/2017,29560
12/30/2017,30472
12/27/2017,31417
12/26/2017,31774
12/25/2017,32150
12/24/2017,30986
12/23/2017,30192
12/20/2017,30052
12/19/2017,29951
12/18/2017,29881
12/17/2017,29998
12/16/2017,30131
12/13/2017,29007
12/12/2017,28947
12/11/2017,29017
12/10/2017,29084
12/9/2017,28340
12/5/2017,28340
12/4/2017,28340
12/3/2017,28340
12/2/2017,28340
11/29/2017,28143
11/28/2017,27981
11/26/2017,27203
11/25/2017,27508
11/22/2017,26508
11/21/2017,25754
11/20/2017,25619
11/18/2017,25237
11/15/2017,25007
11/14/2017,24938
11/13/2017,24973
11/12/2017,25003
11/11/2017,25105
11/8/2017,25189
11/7/2017,25070
11/6/2017,24904
11/5/2017,25219
11/4/2017,25215
11/1/2017,24965
10/31/2017,24858
10/30/2017,25040
10/29/2017,24978
10/28/2017,24048
10/25/2017,23643
10/24/2017,23083
10/23/2017,22893
10/22/2017,21803
10/21/2017,21521
10/18/2017,20933
10/17/2017,20703
10/16/2017,20683
10/15/2017,20721
10/14/2017,20649
10/11/2017,20706
10/10/2017,20791
10/9/2017,20579
10/8/2017,20175
10/7/2017,20175
10/4/2017,20229
10/3/2017,20110
10/2/2017,20280
9/27/2017,20652
9/26/2017,20822
9/25/2017,20491
9/24/2017,20778
9/23/2017,21032
9/20/2017,21377
9/19/2017,21226
9/18/2017,20529
9/17/2017,20457
9/16/2017,20875
9/13/2017,20852
9/12/2017,20795
9/11/2017,20953
9/10/2017,20540
9/6/2017,20246
9/5/2017,20230
9/4/2017,20675
9/3/2017,20682
9/2/2017,20529
8/30/2017,20072
8/29/2017,20524
8/28/2017,20640
8/27/2017,20517
8/26/2017,19888
8/23/2017,18950
8/22/2017,18494
8/21/2017,18337
8/20/2017,18249
8/19/2017,17998
8/16/2017,17829
8/15/2017,17852
8/14/2017,17963
8/13/2017,18018
8/12/2017,18101
8/9/2017,18021
8/8/2017,18096
8/7/2017,18019
8/6/2017,18207
8/2/2017,18202
8/1/2017,18463
7/31/2017,17940
7/30/2017,18043
7/29/2017,18109
7/26/2017,17942
7/25/2017,17713
7/24/2017,17909
7/23/2017,17861
7/22/2017,18025
7/19/2017,17660
7/18/2017,16957
7/17/2017,16952
7/16/2017,16987
7/15/2017,16925
7/12/2017,16982
7/11/2017,16718
7/10/2017,16845
7/9/2017,16674
7/8/2017,16583
7/5/2017,16938
7/4/2017,17063
7/3/2017,17328
7/2/2017,17419
7/1/2017,17519
6/28/2017,17786
6/25/2017,17934
6/24/2017,17827
6/21/2017,18014
6/20/2017,17848
6/19/2017,17844
6/18/2017,18188
6/17/2017,18183
6/14/2017,18172
6/13/2017,18162
6/12/2017,18152
6/11/2017,18142
6/10/2017,18059
6/7/2017,17940
6/6/2017,17921
6/3/2017,17901
5/31/2017,17885
5/30/2017,17875
5/29/2017,17866
5/28/2017,17856
5/27/2017,17836
5/24/2017,17798
5/23/2017,17736
5/22/2017,17797
5/21/2017,17747
5/20/2017,21041
5/17/2017,21041
5/16/2017,21041
5/15/2017,21041
5/14/2017,21041
