date,Close gas
19/10/2015,2.4516
20/10/2015,2.4801
21/10/2015,2.3927
22/10/2015,2.3682
23/10/2015,2.2807
24/10/2015,2.2807
25/10/2015,2.2807
26/10/2015,2.0725
27/10/2015,2.0999
28/10/2015,2.298
29/10/2015,2.2427
30/10/2015,2.3053
31/10/2015,2.3053
1/11/2015,2.3053
2/11/2015,2.2505
3/11/2015,2.27
4/11/2015,2.2657
5/11/2015,2.369
6/11/2015,2.3508
7/11/2015,2.3508
8/11/2015,2.3508
9/11/2015,2.3029
10/11/2015,2.325
11/11/2015,2.2655
12/11/2015,2.2852
13/11/2015,2.3735
14/11/2015,2.3735
15/11/2015,2.3735
16/11/2015,2.3269
17/11/2015,2.3652
18/11/2015,2.3267
19/11/2015,2.2577
20/11/2015,2.1281
21/11/2015,2.1281
22/11/2015,2.1281
23/11/2015,2.1989
24/11/2015,2.1847
25/11/2015,2.2879
26/11/2015,2.2465
27/11/2015,2.2257
28/11/2015,2.2257
29/11/2015,2.2257
30/11/2015,2.2255
1/12/2015,2.2179
2/12/2015,2.1718
3/12/2015,2.1871
4/12/2015,2.178
5/12/2015,2.178
6/12/2015,2.178
7/12/2015,2.0659
8/12/2015,2.0712
9/12/2015,2.0592
10/12/2015,1.9965
11/12/2015,1.9721
12/12/2015,1.9721
13/12/2015,1.9721
14/12/2015,1.8962
15/12/2015,1.802
16/12/2015,1.8199
17/12/2015,1.7337
18/12/2015,1.7617
19/12/2015,1.7617
20/12/2015,1.7617
21/12/2015,1.9295
22/12/2015,1.9069
23/12/2015,1.9901
24/12/2015,2.0629
25/12/2015,2.0622
26/12/2015,2.0622
27/12/2015,2.0622
28/12/2015,2.2579
29/12/2015,2.3113
30/12/2015,2.2636
31/12/2015,2.3426
1/1/2016,2.3421
2/1/2016,2.3421
3/1/2016,2.3421
4/1/2016,2.2815
5/1/2016,2.3293
6/1/2016,2.2784
7/1/2016,2.3923
8/1/2016,2.4707
9/1/2016,2.4707
10/1/2016,2.4707
11/1/2016,2.3569
12/1/2016,2.2556
13/01/2016,2.2723
14/01/2016,2.1316
15/01/2016,2.0923
16/01/2016,2.0923
17/01/2016,2.0923
18/01/2016,2.1121
19/01/2016,2.0851
20/01/2016,2.1291
21/01/2016,2.139
22/01/2016,2.1339
23/01/2016,2.1339
24/01/2016,2.1339
25/01/2016,2.1409
26/01/2016,2.1738
27/01/2016,2.1423
28/01/2016,2.2203
29/01/2016,2.3045
30/01/2016,2.3045
31/01/2016,2.3045
1/2/2016,2.1342
2/2/2016,2.0335
3/2/2016,2.0371
4/2/2016,1.9736
5/2/2016,2.0578
6/2/2016,2.0578
7/2/2016,2.0578
8/2/2016,2.1112
9/2/2016,2.0881
10/2/2016,2.0451
11/2/2016,1.9859
12/2/2016,1.9624
13/02/2016,1.9624
14/02/2016,1.9624
15/02/2016,1.9114
16/02/2016,1.9238
17/02/2016,1.9417
18/02/2016,1.8464
19/02/2016,1.8042
20/02/2016,1.8042
21/02/2016,1.8042
22/02/2016,1.8259
23/02/2016,1.7789
24/02/2016,1.7691
25/02/2016,1.7742
26/02/2016,1.7834
27/02/2016,1.7834
28/02/2016,1.7834
29/02/2016,1.6997
1/3/2016,1.7308
2/3/2016,1.6621
3/3/2016,1.625
4/3/2016,1.6641
5/3/2016,1.6641
6/3/2016,1.6641
7/3/2016,1.7022
8/3/2016,1.7169
9/3/2016,1.7539
10/3/2016,1.8
11/3/2016,1.8002
12/3/2016,1.8002
13/03/2016,1.8002
14/03/2016,1.8155
15/03/2016,1.8409
16/03/2016,1.8648
17/03/2016,1.9281
18/03/2016,1.8869
19/03/2016,1.8869
20/03/2016,1.8869
21/03/2016,1.8067
22/03/2016,1.8558
23/03/2016,1.7811
24/03/2016,1.8046
25/03/2016,1.8049
